Date,Open,High,Low,Volume,MarketCap,ETHOpen,ETHHigh,ETHLow,ETHClose,ETHVolume,ETHMarketCap,Close
19-May-14,446.08,447.55,443.1,6242620,5706978471,0,0,0,0,0,0,446.18
20-May-14,446.3,491.44,446.01,40327500,6214911439,0,0,0,0,0,0,485.72
21-May-14,485.8,494.37,483.49,14626000,6294422409,0,0,0,0,0,0,491.77
22-May-14,492.05,525.36,490.19,33086500,6716604600,0,0,0,0,0,0,524.58
23-May-14,525.72,541.96,520.08,34934700,6662964359,0,0,0,0,0,0,520.22
24-May-14,521.05,525.17,516.28,11499300,6727963028,0,0,0,0,0,0,525.14
25-May-14,525.23,576.48,525.23,47010300,7325371780,0,0,0,0,0,0,571.59
26-May-14,571.39,588.39,565.33,29959800,7479335238,0,0,0,0,0,0,583.42
27-May-14,582.59,589.52,554.43,38032000,7325147499,0,0,0,0,0,0,571.24
28-May-14,571.91,578.62,564.09,19289000,7402205099,0,0,0,0,0,0,577.06
29-May-14,576.33,577.1,561.6,18707800,7290260762,0,0,0,0,0,0,568.18
30-May-14,568.18,618.46,568.16,31985400,7897757908,0,0,0,0,0,0,615.33
31-May-14,615.69,624.72,604.47,15107100,8007248676,0,0,0,0,0,0,623.68
1-Jun-14,623.69,671.51,619.91,45259100,8094125581,0,0,0,0,0,0,630.23
2-Jun-14,629.65,665.5,618.74,45450200,8487587033,0,0,0,0,0,0,660.62
3-Jun-14,660.55,674.11,650.78,40653700,8580309812,0,0,0,0,0,0,667.6
4-Jun-14,666.77,668.56,624.09,37731500,8249183077,0,0,0,0,0,0,641.61
5-Jun-14,641.07,663.53,640.09,29621300,8478552324,0,0,0,0,0,0,659.26
6-Jun-14,659.28,661.37,652.3,18680100,8409353268,0,0,0,0,0,0,653.7
7-Jun-14,653.52,656.94,644.91,15855300,8428206589,0,0,0,0,0,0,654.97
8-Jun-14,654.99,658.88,653.47,8614190,8445489607,0,0,0,0,0,0,656.14
9-Jun-14,655.64,657.7,644.39,19065400,8358149331,0,0,0,0,0,0,649.16
10-Jun-14,650.04,659.61,646.56,17913400,8412294411,0,0,0,0,0,0,653.15
11-Jun-14,653.19,657.04,632.55,25163800,8155307439,0,0,0,0,0,0,633.02
12-Jun-14,633.43,638.11,573.27,50818800,7564343900,0,0,0,0,0,0,586.95
13-Jun-14,585.7,615.14,585.7,35700700,7737046327,0,0,0,0,0,0,600.16
14-Jun-14,600.75,601.27,549.82,38481200,7445594334,0,0,0,0,0,0,577.36
15-Jun-14,575.93,592.94,554.89,23580900,7649361650,0,0,0,0,0,0,592.94
