NasDaqopen,NasDaqClose,NasdaqLow,NasdaqHigh,NasdaqVolume,Date,Open,High,Low,Volume,MarketCap,Close
5834.67,5852.54,5812.08,5838.81,1883930000.00,3/9/2017,1150.35,1197.46,1141.23,212283008,19261188310,1188.49
5867.16,5872.60,5835.44,5861.73,1982150000.00,3/10/2017,1189.36,1270.47,1077.25,563795968,18100188612,1116.72
5863.48,5877.43,5860.83,5875.78,1799340000.00,3/11/2017,1116.32,1193.83,1116.32,283320000,19060468862,1175.83
5863.48,5877.43,5860.83,5875.78,1799340000.00,3/12/2017,1176.62,1226.98,1175.36,227176000,19801195767,1221.38
5863.48,5877.43,5860.83,5875.78,1799340000.00,3/13/2017,1221.78,1237.37,1217.03,380276992,19974334865,1231.92
5860.07,5860.50,5831.88,5856.82,1663170000.00,3/14/2017,1232.16,1244.81,1220.72,245306000,20107761880,1240
5869.98,5911.20,5858.16,5900.05,1952690000.00,3/15/2017,1240.16,1251.61,1239.75,297804992,20265831337,1249.61
5907.86,5911.48,5887.24,5900.76,1766980000.00,3/16/2017,1251.33,1257.98,1152.44,638568000,19265847025,1187.81
5898.58,5912.61,5890.42,5901.00,3184130000.00,3/17/2017,1180.16,1180.16,1099.57,706598976,17847435957,1100.23
5898.81,5915.12,5888.12,5901.53,1730550000.00,3/18/2017,1099.69,1114.07,957.66,621302016,15798760668,973.82
5898.81,5915.12,5888.12,5901.53,1730550000.00,3/19/2017,976.73,1069.91,976.73,406648000,16821676707,1036.74
5898.81,5915.12,5888.12,5901.53,1730550000.00,3/20/2017,1037.24,1063.03,1036.68,286529984,17107266418,1054.23
5923.42,5928.06,5790.73,5793.83,2192090000.00,3/21/2017,1055.36,1122.43,1055.36,337391008,18185299687,1120.54
5790.59,5825.67,5781.80,5821.64,1857680000.00,3/22/2017,1120.65,1120.65,1014.21,380840992,17028630158,1049.14
5812.31,5842.82,5806.98,5817.69,1742640000.00,3/23/2017,1050.05,1058.01,1028.93,248540000,16859314109,1038.59
5839.33,5858.95,5807.83,5828.74,1841920000.00,3/24/2017,1038.45,1040.47,934.36,491038016,15220718764,937.52
5776.33,5849.20,5769.39,5840.37,1670760000.00,3/25/2017,936.54,975.76,903.71,435803008,15794781102,972.78
5776.33,5849.20,5769.39,5840.37,1670760000.00,3/26/2017,974.02,1007.96,954.19,303668000,15698465531,966.72
5776.33,5849.20,5769.39,5840.37,1670760000.00,3/27/2017,972.05,1046.4,971.98,372535008,16983801541,1045.77
5836.50,5888.70,5828.86,5875.14,1820860000.00,3/28/2017,1044.58,1064.65,1027.73,326332000,17008241726,1047.15
5875.35,5900.87,5870.93,5897.55,1718680000.00,3/29/2017,1046.08,1055.13,1015.88,298457984,16893415156,1039.97
5896.15,5916.77,5894.00,5914.34,1723770000.00,3/30/2017,1042.21,1049.29,1020.04,352968992,16675587066,1026.43
